run_id,job_name,status,trigger_source,trigger_name,dbt_command,warehouse,tests_total,tests_failed,error,event_at
run-success,daily_build,STARTED,schedule,daily_asset_schedule,dbt build,TRANSFORMING,,,,2026-01-05 06:00:00
run-success,daily_build,SUCCESS,schedule,daily_asset_schedule,dbt build,TRANSFORMING,20,0,,2026-01-05 06:10:00
run-failure,daily_build,STARTED,manual,,dbt build,TRANSFORMING,,,,2026-01-05 07:00:00
run-failure,daily_build,FAILURE,manual,,dbt build,TRANSFORMING,8,2,dbt build failed: 2 tests failed,2026-01-05 07:02:30
run-in-progress,daily_build,STARTED,schedule,daily_asset_schedule,dbt build,TRANSFORMING,,,,2026-01-06 06:00:00
run-duplicate-start,process_landing_file_job,STARTED,sensor,s3_file_arrival_sensor,,,,,,2026-01-06 08:00:00
run-duplicate-start,process_landing_file_job,STARTED,sensor,s3_file_arrival_sensor,,,,,,2026-01-06 08:00:05
run-duplicate-start,process_landing_file_job,SUCCESS,sensor,s3_file_arrival_sensor,,,0,0,,2026-01-06 08:05:00
run-monitoring,refresh_monitoring,STARTED,schedule,monitoring_schedule,dbt build,TRANSFORMING,,,,2026-01-06 09:00:00
run-monitoring,refresh_monitoring,SUCCESS,schedule,monitoring_schedule,dbt build,TRANSFORMING,4,0,,2026-01-06 09:01:00
